,average_voltage,capacity_grav,capacity_vol,energy_grav,energy_vol,max_frac,max_voltage,min_frac,min_instability,min_voltage,nsteps,numsites
184,2.798137205,73.9214815,233.9152132,206.8424476,654.526861,0.071428571,2.798137205,0.0,0.009750561,2.798137205,1,13
185,4.16015773,41.92836174,131.1066625,174.4285982,545.4243954,0.043478261,4.16015773,0.0,0.0,4.16015773,1,22
186,1.889257273,71.13097785,212.970755,134.3847173,402.3565478,0.183673469,1.889257273,0.130434783,0.02510849,1.889257273,1,40
187,2.770276587,60.70016597,162.0934683,168.1562486,449.0437402,0.055555556,2.770276587,0.0,0.004442117,2.770276587,1,17
188,3.905344005,59.7607261,193.9959411,233.3861934,757.6208855,0.105263158,3.905344005,0.055555556,0.041554795,3.905344005,1,17
189,3.473348365,73.9214815,233.518032,256.7550569,811.0894748,0.071428571,3.473348365,0.0,0.039698535,3.473348365,1,13
190,2.68136142,174.8671638,567.5880068,468.8820666,1521.908584,0.166666667,2.68136142,0.0,0.0,2.68136142,1,10
191,3.61926784,116.6703655,584.3624963,422.2613017,2114.96439,0.25,4.21640612,0.142857143,0.018390281,3.02212956,2,12
192,3.16115156,100.4885817,282.2128155,317.6596368,892.1174821,0.2,3.16115156,0.142857143,3.46e-14,3.16115156,1,12
193,3.47899286,113.1674466,324.9113826,393.7087388,1130.36438,0.083333333,3.47899286,0.0,-2.66e-15,3.47899286,1,11
194,3.73692706,106.3971933,590.768866,397.5985506,2207.660162,0.15,3.73692706,0.0,0.065735863,3.73692706,1,17
195,2.53423617,60.22071324,275.4581305,152.6135097,698.0759576,0.25,2.53423617,0.2,0.01404188,2.53423617,1,12
196,3.913115585,84.46415453,351.7580928,330.5179995,1376.470075,0.25,3.913115585,0.181818182,0.023597926,3.913115585,1,18
197,3.469496952,169.8905269,499.3776749,589.4346654,1732.589321,0.142857143,3.500379735,0.0,0.051010343,3.43861417,2,6
198,3.213570862,169.8905269,489.9651584,545.9552471,1574.537757,0.142857143,3.213570862,0.0,0.004181297,3.213570862,1,6
199,2.288637697,98.68777209,308.3628934,225.8605555,705.7309423,0.15,2.288637697,0.055555556,8.88e-16,2.288637697,1,17
200,4.137386682,53.89656034,182.4263441,222.990911,754.7683266,0.0625,4.137386682,0.0,0.046745292,4.137386682,1,15
201,3.868949085,20.30410741,75.85285072,78.55555779,293.4708174,0.026315789,3.868949085,0.0,0.05950361,3.868949085,1,37
202,4.434783215,121.4812547,403.7607758,538.7430294,1790.591511,0.142857143,4.434783215,0.0,0.016610828,4.434783215,1,6
203,3.94393111,34.95715813,129.9807435,137.8686235,512.6350978,0.05,3.94393111,0.0,0.029245054,3.94393111,1,19
204,3.507760288,170.1350557,585.0004101,596.7929918,2052.041207,0.142857143,3.507760288,0.0,0.000888166,3.507760288,1,24
205,3.50652782,170.1350557,582.682,596.5833059,2043.190643,0.142857143,3.50652782,0.0,0.00075889,3.50652782,1,24
206,3.290318,115.1701408,376.9493207,378.9463874,1240.283135,0.1,3.290318,0.0,0.037526363,3.290318,1,18
207,3.404584098,169.8905269,588.7394567,578.4065863,2004.412992,0.142857143,3.404584098,0.0,-8.88e-16,3.404584098,1,6
208,3.059256793,114.9461495,381.9882808,351.6497885,1168.600243,0.1,3.059256793,0.0,0.038759899,3.059256793,1,6
209,4.34632575,72.7291542,212.359067,316.1045957,922.9816813,0.3,4.34632575,0.263157895,0.015559718,4.34632575,1,14
210,4.183794287,170.909816,499.3195351,715.0515121,2089.050219,0.25,4.183794287,0.142857143,0.015945562,4.183794287,1,6
